data,linha,sigla,estacao,fluxo,ano
2023-01-01,1-AZUL,JAB,Jabaquara,49200,2023
2023-01-02,1-AZUL,JAB,Jabaquara,68700,2023
2023-01-03,1-AZUL,JAB,Jabaquara,67500,2023
2023-01-04,1-AZUL,JAB,Jabaquara,59800,2023
2023-01-05,1-AZUL,JAB,Jabaquara,56900,2023
2023-01-06,1-AZUL,JAB,Jabaquara,58000,2023
2023-01-07,1-AZUL,JAB,Jabaquara,41200,2023
2023-01-08,1-AZUL,JAB,Jabaquara,33600,2023
2023-01-09,1-AZUL,JAB,Jabaquara,63600,2023
2023-01-10,1-AZUL,JAB,Jabaquara,60600,2023
2023-01-11,1-AZUL,JAB,Jabaquara,59200,2023
2023-01-12,1-AZUL,JAB,Jabaquara,60400,2023
2023-01-13,1-AZUL,JAB,Jabaquara,61500,2023
2023-01-14,1-AZUL,JAB,Jabaquara,43000,2023
2023-01-15,1-AZUL,JAB,Jabaquara,34900,2023
2023-01-16,1-AZUL,JAB,Jabaquara,64100,2023
2023-01-17,1-AZUL,JAB,Jabaquara,61800,2023
2023-01-18,1-AZUL,JAB,Jabaquara,62800,2023
2023-01-19,1-AZUL,JAB,Jabaquara,61900,2023
2023-01-20,1-AZUL,JAB,Jabaquara,62500,2023
2023-01-21,1-AZUL,JAB,Jabaquara,43000,2023
2023-01-22,1-AZUL,JAB,Jabaquara,36500,2023
2023-01-23,1-AZUL,JAB,Jabaquara,65800,2023
2023-01-24,1-AZUL,JAB,Jabaquara,64600,2023
2023-01-25,1-AZUL,JAB,Jabaquara,36500,2023
2023-01-26,1-AZUL,JAB,Jabaquara,63500,2023
2023-01-27,1-AZUL,JAB,Jabaquara,65300,2023
2023-01-28,1-AZUL,JAB,Jabaquara,43900,2023
2023-01-29,1-AZUL,JAB,Jabaquara,34000,2023
2023-01-30,1-AZUL,JAB,Jabaquara,65600,2023
2023-01-31,1-AZUL,JAB,Jabaquara,63900,2023
2023-02-01,1-AZUL,JAB,Jabaquara,64000,2023
2023-02-02,1-AZUL,JAB,Jabaquara,64400,2023
2023-02-03,1-AZUL,JAB,Jabaquara,65700,2023
2023-02-04,1-AZUL,JAB,Jabaquara,44400,2023
2023-02-05,1-AZUL,JAB,Jabaquara,33400,2023
2023-02-06,1-AZUL,JAB,Jabaquara,66500,2023
2023-02-07,1-AZUL,JAB,Jabaquara,65200,2023
2023-02-08,1-AZUL,JAB,Jabaquara,66100,2023
2023-02-09,1-AZUL,JAB,Jabaquara,66600,2023
2023-02-10,1-AZUL,JAB,Jabaquara,67400,2023
