data,linha,sigla,estacao,fluxo
2025-01-01,1-AZUL,JAB,Jabaquara,46200
2025-01-02,1-AZUL,JAB,Jabaquara,56700
2025-01-03,1-AZUL,JAB,Jabaquara,57700
2025-01-04,1-AZUL,JAB,Jabaquara,43300
2025-01-05,1-AZUL,JAB,Jabaquara,37300
2025-01-06,1-AZUL,JAB,Jabaquara,62400
2025-01-07,1-AZUL,JAB,Jabaquara,60200
2025-01-08,1-AZUL,JAB,Jabaquara,60200
2025-01-09,1-AZUL,JAB,Jabaquara,59900
2025-01-10,1-AZUL,JAB,Jabaquara,60200
2025-01-11,1-AZUL,JAB,Jabaquara,43100
2025-01-12,1-AZUL,JAB,Jabaquara,33600
2025-01-13,1-AZUL,JAB,Jabaquara,61300
2025-01-14,1-AZUL,JAB,Jabaquara,62400
2025-01-15,1-AZUL,JAB,Jabaquara,62900
2025-01-16,1-AZUL,JAB,Jabaquara,61700
2025-01-17,1-AZUL,JAB,Jabaquara,62200
2025-01-18,1-AZUL,JAB,Jabaquara,43600
2025-01-19,1-AZUL,JAB,Jabaquara,32300
2025-01-20,1-AZUL,JAB,Jabaquara,64500
2025-01-21,1-AZUL,JAB,Jabaquara,63900
2025-01-22,1-AZUL,JAB,Jabaquara,63700
2025-01-23,1-AZUL,JAB,Jabaquara,63900
2025-01-24,1-AZUL,JAB,Jabaquara,62700
2025-01-25,1-AZUL,JAB,Jabaquara,38300
2025-01-26,1-AZUL,JAB,Jabaquara,34800
2025-01-27,1-AZUL,JAB,Jabaquara,64800
2025-01-28,1-AZUL,JAB,Jabaquara,62200
2025-01-29,1-AZUL,JAB,Jabaquara,61300
2025-01-30,1-AZUL,JAB,Jabaquara,61500
2025-01-31,1-AZUL,JAB,Jabaquara,62700
2025-02-01,1-AZUL,JAB,Jabaquara,39600
2025-02-02,1-AZUL,JAB,Jabaquara,27000
2025-02-03,1-AZUL,JAB,Jabaquara,63400
2025-02-04,1-AZUL,JAB,Jabaquara,65000
2025-02-05,1-AZUL,JAB,Jabaquara,64600
2025-02-06,1-AZUL,JAB,Jabaquara,66700
2025-02-07,1-AZUL,JAB,Jabaquara,67100
2025-02-08,1-AZUL,JAB,Jabaquara,45200
2025-02-09,1-AZUL,JAB,Jabaquara,34600
2025-02-10,1-AZUL,JAB,Jabaquara,67900
2025-02-11,1-AZUL,JAB,Jabaquara,62200
2025-02-12,1-AZUL,JAB,Jabaquara,66600
2025-02-13,1-AZUL,JAB,Jabaquara,66800
2025-02-14,1-AZUL,JAB,Jabaquara,66400
2025-02-15,1-AZUL,JAB,Jabaquara,40000
2025-02-16,1-AZUL,JAB,Jabaquara,30800
2025-02-17,1-AZUL,JAB,Jabaquara,69000
2025-02-18,1-AZUL,JAB,Jabaquara,67700
2025-02-19,1-AZUL,JAB,Jabaquara,68200
2025-02-20,1-AZUL,JAB,Jabaquara,68500
2025-02-21,1-AZUL,JAB,Jabaquara,69100
2025-02-22,1-AZUL,JAB,Jabaquara,46400
2025-02-23,1-AZUL,JAB,Jabaquara,36200
2025-02-24,1-AZUL,JAB,Jabaquara,69800
2025-02-25,1-AZUL,JAB,Jabaquara,69100
2025-02-26,1-AZUL,JAB,Jabaquara,68600
2025-02-27,1-AZUL,JAB,Jabaquara,68300
2025-02-28,1-AZUL,JAB,Jabaquara,69400
2025-03-01,1-AZUL,JAB,Jabaquara,43000
2025-03-02,1-AZUL,JAB,Jabaquara,32100
2025-03-03,1-AZUL,JAB,Jabaquara,44200
2025-03-04,1-AZUL,JAB,Jabaquara,42800
2025-03-05,1-AZUL,JAB,Jabaquara,57700
2025-03-06,1-AZUL,JAB,Jabaquara,68400
2025-03-07,1-AZUL,JAB,Jabaquara,68200
2025-03-08,1-AZUL,JAB,Jabaquara,47700
2025-03-09,1-AZUL,JAB,Jabaquara,38300
