METRÔ DE SÃO PAULO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INFORMAÇÕES SOBRE A DEMANDA - 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entrada de Passageiros por Estação - Diária (em milhares);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENTRADAS POR ESTAÇÃO - LINHA 1-AZUL ¹ - JAN/2025 (MIL);;;;;;;;;;;;;;;;;;;;;;;;;;ENTRADAS POR ESTAÇÃO - LINHA 2-VERDE ² - JAN/2025 (MIL);;;;;;;;;;;;;;;;;ENTRADAS POR ESTAÇÃO - LINHA 3-VERMELHA ³ - JAN/2025 (MIL);;;;;;;;;;;;;;;;;;;;;ENTRADAS POR ESTAÇÃO - LINHA 15-PRATA - JAN/2025 (MIL);;;;;;;;;;;;
DIA;JAB;CON;JUD;SAU;ARV;SCZ;VMN;ANR;PSO;VGO;JQM;LIB;PSE;BTO;LUZ;TRD;PPQ;TTE;CDU;SAN;JPA;PIG;TUC;TOTAL;;DIA;VPT;TTI;SAC;AIP;IMG;CKB;ANR;PSO;BGD;TRI;CNS;CLI;SUM;VMD;TOTAL;;DIA;ITQ;ART;PCA;VPA;VTD;PEN;CAR;TAT;BEL;BRE;BAS;PDS;PSE;GBU;REP;CEC;DEO;BFU;TOTAL;;DIA; VPM ; ORT ; SLU ; CAD ; VTL ; VUN ; JPL ; SAP ; FJT ; MAT ;IGT;TOTAL
1;46,2;4,3;2,6;3,9;1,9;19,3;2,3;2,8;3;4,3;4;3,8;1,9;2,9;14,7;1,9;3,7;27;1,5;8,4;1,4;1,8;10,2;173,7;;1;2,3;13,1;6,6;2,3;1,6;12,1;1,2;1,4;8;12,1;13,8;2,8;1,2;2,7;81,2;;1;16,7;10,4;3,7;3,6;4,4;4,3;5,4;17,7;6;5,5;12,5;5,2;2,9;7;21,7;4,6;4,4;30,5;166,3;;1;1,2;1;0,8;0,6;1;1;0,9;1,7;0,8;3,4;1,9;14,4
2;56,7;14,5;8,7;14,6;7,9;54;8,5;10,1;10,1;14,3;11,8;17,4;8,2;34;71,7;6,1;10,9;46,9;5,6;27,2;5,1;6,1;32,5;482,9;;2;8,4;43,5;21,8;8,9;8,4;46;5,7;5,7;28,6;24,1;50,7;11,5;4,8;9,8;277,8;;2;44,4;31,9;12,2;11,1;14,1;15;20;43,1;20,6;16;43,8;9;11,8;28,9;64,8;12,8;14,5;86,9;501;;2;5,1;3,6;2,6;1,9;2,9;3,2;2,8;5,5;2,3;10,3;6,9;47
3;57,7;15,2;9,6;16,7;9,2;60,3;9,6;11,5;11,4;16;12,8;20;9,3;40,2;84,6;7;11,8;41,3;6,4;30,4;5,8;6,9;36,5;530,5;;3;9,5;47,7;24,8;10;9,4;50,7;6,5;6,4;31,3;25,9;56;12,6;5,4;11,2;307,2;;3;48,5;35,6;13,5;12,7;15,9;16,7;22,7;49,4;23,6;18,2;50,7;10,9;13,4;31,6;72,6;14,8;16,2;89,1;556,3;;3;5,6;3,9;2,9;2,1;3,3;3,6;3;5,9;2,6;11,7;7,6;52,4
4;43,3;10;6,4;12,3;6,5;44,4;6,3;9,3;8,8;10;8,9;27,7;6,6;28;57,2;5,5;8,1;34,7;3,8;21;3,9;4,4;25,2;392;;4;5,9;31,2;16,8;6,5;6,2;30,1;3,1;2,8;19,3;16;36,9;5,2;3;7,5;190,4;;4;35,6;25,2;9,4;8,9;10,9;11,5;15,4;45,8;16,1;14,4;34,1;7,6;8,3;17,8;49,8;10;11,4;64,7;396,9;;4;3,4;2,6;2;1,4;2,4;2,5;2,3;4,3;1,8;7,8;4,4;35
5;37,3;6,6;4,2;7,4;3,6;28,2;3,9;5,8;5;6,5;5,6;19,9;2,8;5,7;25,2;3,2;5,1;34,6;2,8;12,8;2,3;2,8;15,9;247,5;;5;3,7;20,1;10,7;4,4;3,9;18,8;2,4;2,4;15,2;13,9;27,5;3,9;2;4,8;133,5;;5;24;15,5;5,7;5,4;7,4;7,2;9;29,9;11,2;8,6;18,8;8,4;4,2;9,8;30;7,6;7,7;50,4;260,8;;5;2;1,6;1,3;0,8;1,4;1,5;1,3;2,5;1,2;4,8;2,6;20,9
6;62,4;24,6;12,4;21,1;11,9;71,9;12,7;14,8;15;20,6;18,1;18,8;12,5;49,2;112,5;9,8;15,2;45,3;8,6;40,7;8,6;9,8;46,8;663,1;;6;13,2;64;32,4;13,4;12,2;71,8;8,3;8,4;41,2;36,5;75,4;17,9;7,7;15,5;418;;6;58,4;45;17,7;16,8;21;21,7;31,5;58,2;29,4;22,1;63,6;12,4;18;42,4;95,8;18,4;19,8;113,7;706;;6;7,4;5,6;4,1;2,9;4,4;4,6;3,8;7,6;3,4;14,4;10;68,2
7;60,2;25,8;12,9;21,6;12,6;79,7;13,1;16;16,5;21,9;19,2;20,4;13,5;48,9;114,4;10,1;15,6;40,5;9,3;41,6;9,1;10,2;49;682,2;;7;14,2;67,7;34,3;14,3;12,6;72;9;9,3;45,4;40,9;82,7;18,5;8,3;17,2;446,5;;7;59,5;46,4;18,2;17,3;22,2;22,4;33;62,1;31,1;24,7;65,5;13,9;19,4;44,3;101,9;19,1;21,1;118,7;740,7;;7;8,2;6;4,6;3,1;4,5;4,9;4;8;3,5;15,6;10,5;73
8;60,2;26,3;13,4;25,4;13;81,8;13,9;16,4;16,9;22,1;19,5;21,1;13,8;50,8;119,1;10,5;15,5;39,2;9,4;42,4;9,3;10,7;49,8;700,4;;8;14,9;68,8;34,7;14,9;12,9;72,9;9,2;9,5;45,9;40,9;84,1;18,5;8,5;17,6;453,1;;8;60,8;47;18,7;17,7;22,7;22,6;34,2;63,4;31,4;25,5;66;13,3;19,9;44,8;104,1;20,2;21,5;114,9;748,8;;8;8,5;6,1;4,3;3;4,7;5;4,1;8,2;3,7;17,3;10,7;75,4
9;59,9;25,6;13,5;22,8;13;81,9;13,9;16,4;16,7;22,4;19,4;21,8;13,8;50,8;116;10,8;15,4;38,5;9,1;42,3;9,4;10,8;49,8;693,9;;9;14,8;69,1;34,7;14,9;13,2;73,4;9,2;9,4;45,3;39,8;83;18,4;8,2;17,9;451,5;;9;60,7;47,3;19,1;17,9;22,9;22,8;34,4;64,4;31,5;24,9;66;13;19,9;45,4;105;19,7;21,7;121,8;758,7;;9;8,3;6;4,4;3,1;4,7;5;4;8,1;3,7;15;10,6;72,9
10;60,2;22,2;13,3;22,4;13,3;81,9;13,6;16,5;16,3;20;19;22,6;14;50,5;114,8;10,6;15,7;39,9;9;42,1;9,1;10,2;49,4;686,5;;10;14,3;67,1;34,3;14,8;12,7;70,3;9,3;9,2;43,5;37,7;79,8;17,7;8,1;16,9;435,7;;10;61,6;47,5;18,9;18;22,6;22,8;34,2;65,9;32,3;25,3;67;14;20,2;44,6;103,5;19,4;21,8;119,6;759,4;;10;8,2;6;4,3;3;4,8;5,1;4,1;8,2;3,6;15,3;10,5;73,2
11;43,1;12,3;7,8;15;8,2;52,4;8,5;11,5;10,7;11,4;11,5;29;8;35,4;71,2;7,9;9,9;31;4,7;26,1;5,3;5,7;30,8;457,6;;11;8,6;39;20,7;8,5;7,3;35,9;3,8;3,4;22,2;19;44,7;5,9;4,2;9,6;232,7;;11;41,7;29;11,5;11;13,6;14,2;20;56,9;19,5;20,9;43,7;9,4;10,2;21,4;61,4;12,2;13,7;78,5;488,8;;11;4,6;3,4;2,7;1,9;3;3,1;2,6;5,1;2,2;9,4;5,2;43,2
12;33,6;7,6;4,5;8,3;4,3;31;4,4;6,2;5,6;7,6;7,1;22,8;3,3;7,8;29,2;5,6;5,8;28,4;3,5;14,4;2,7;3,3;17,6;264,7;;12;4,3;21,6;11,6;4,7;4,3;20;2,5;2,7;15,4;14,5;29,6;3,8;2,6;5,6;143;;12;27;17,1;6,3;6,1;7,8;8,3;10,5;34,2;12;11;20,1;7,3;4,9;11,4;33,9;8,7;8,3;48,4;283,2;;12;2,1;1,7;1,3;0,9;1,5;1,6;1,5;2,8;1,2;5;2,8;22,4
13;61,3;26,5;13,3;22,7;13,2;81,8;13,9;16,1;17;22,5;19,8;20,6;14,1;51,1;118,1;10,9;16,5;43,9;9,2;43,2;9,5;10,8;50,4;706,3;;13;14,9;69,5;35;14,7;13,2;73;9;9,5;44,8;39,8;82,3;18,9;8,6;17,5;450,7;;13;61,6;47,5;19,1;17,8;23;22,9;34,8;64;31,1;25,9;67,2;12,7;20,3;45;102,6;19,6;21,8;122,1;758,9;;13;8,2;6,2;4,4;3,1;4,8;5,1;4;8,2;3,7;15,1;10,6;73,4
14;62,4;28,2;14,3;23,7;13,9;84,1;14,8;17,5;17,5;23,4;20,8;21,7;14,2;50,5;120,7;11,3;16,9;39,6;9,6;44,7;10;11,5;52,7;724,3;;14;16,2;73,4;36,9;15,7;13,8;77,9;9,9;9,9;48,9;44,2;89,9;19,8;9,2;19,5;485,3;;14;62,7;48,9;19,7;18,5;24,3;23,9;36,2;65,6;33;26,7;68,5;14,7;20,5;46,9;109,3;20,7;22,9;125,9;788,6;;14;8,8;6,4;4,8;3,3;5;5,2;4,1;8,3;3,8;15,4;11;76,1
